Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Ola Consumer,7.3,Jun-21,Transportation,India,"Bhavish Aggarwal, Ankit Bhati"
Gong,7.25,Oct-21,Artificial intelligence,United States,
TripActions,7.25,Nov-19,Travel,United States,Ariel Cohen and Ilan Twig
Automation Anywhere,6.8,Jul-21,Robotic process automation,United States,
1Password,6.8,Feb-21,Password manager,Canada,
WeDoctor,6.8,Jul-21,Healthcare,China,
Yanolja,6.7,Mar-20,Hospitality,South Korea,Lee Su-jin
Ziroom,6.6,Jul-22,Real estate technology,China,
Klarna,6.5,Jun-21,Financial technology,Sweden,"Sebastian Siemiatkowski, Niklas Adalberth, Victor Jacobsson"
Mollie,6.5,Jun-22,Financial technology,Netherlands,
CRED,6.4,Jul-21,Financial technology,India,Kunal Shah
DataRobot,6.3,Oct-21,Artificial intelligence,United States,
Personio,6.3,Aug-22,Software,Germany,
Doctolib [fr],6.2,Apr-17,Healthcare,France,
Lianjia (Homelink),6.04,Apr-17,Real estate,China,
iCapital,6,Oct-21,Financial services,United States,
Wiz,6,Jan-21,Cybersecurity,United States / Israel,
Xingsheng Youxuan,6,Mar-25,Retail,China,
PsiQuantum,6,Dec-24,Quantum computing,United States,Jeremy O'BrienTerry RudolphPeter ShadboltMark Thompson
SandboxAQ,5.6,Aug-22,"Quantum technology, Artificial intelligence",United States,Jack HidaryEric Schmidt
Back Market,5.8,Apr-22,Marketplace,France,
The Boring Company,5.7,Feb-20,Construction,United States,Elon Musk
Vice Media,5.7,Feb-22,Mass media,United States,
Relex,5.68,Aug-22,Supply Chain Automation,Finland,"Johanna Småros, Mikko Kärkkäinen, and Michael Falck"
Contentsquare,5.6,Sep-21,Software as a service,France,
Fivetran,5.6,Oct-21,Data infrastructure,United States,
PharmEasy,5.6,Aug-21,Health technology,India,Siddharth Shah
Postman,5.6,Jan-22,Software as a service,India / United States,
Swiggy,5.5,Nov-21,Food delivery,India,"Nandan Reddy, Sriharsha Majety"
Airwallex,5.5,Dec-20,Financial services,Australia / Hong Kong,
PhonePe,5.5,Jul-24,Financial technology,India,"Sameer Nigam, Rahul Chari"
Cohere,5.5,Jun-21,Artificial intelligence,Canada,"Aidan Gomez, Ivan Zhang, Nick Frosst"
Viva Republica (Toss),5.48,Jan-25,Financial technology,South Korea,
Helion Energy,5.42,Nov-20,Fusion power,United States,"David Kirtley, John Slough, Chris Pihl, George Votroubek"
Pony.ai,5.3,May-21,Artificial intelligence,China / United States,"James Peng, Tiancheng Lou"
Trade Republic,5.3,Jul-21,Financial technology,Germany,
Rappi,5.25,Dec-24,Transportation,Colombia,
Oura Health,5.2,Mar-21,Wearables,Finland,"Petteri Lahtela, Kari Kivelä, and Markku Koskela"
Blockchain.com,5.2,Dec-20,Cryptocurrency,United Kingdom,
OneTrust,5.1,Apr-21,Cybersecurity,United Kingdom / United States,
SambaNova,5.1,Jan-19,Artificial intelligence,United States,
Collibra,5+,Oct-21,Data governance,Belgium,"Pieter De Leenheer, Felix Van de Maele, Stijn Christiaens"
Thrasio,5+,Nov-19,Holding company,United States,Josh Silberstein and Carlos Cashman
CloudKitchens,5,Mar-21,Ghost kitchen,United States,
Hello TransTech,5,Aug-21,Transportation,China,
Hopper,5,Oct-19,Travel,Canada,
JUUL Labs,5,Dec-21,Electronic cigarettes,United States,
OfBusiness,5,Jan-22,B2B e-commerce,India,"Bhuvan Gupta, Vasant Sridhar, Ruchi Kalra, Nitin Jain, Asish Mohapatra"
Ola Electric,5,Aug-22,Electric vehicles,India,Bhavish Aggarwal
Qonto,5,Mar-21,Finance,France,
Ro,5,Aug-18,Health technology,United States,
Royole,5,May-18,Flexible electronics,China / United States,
UBtech Robotics,5,May-18,Robotics,China,
GetBlock,4.6,Sep-17,Blockchain,Georgia,Steven Lloyd
United Imaging,5,Aug-21,Healthcare,China,
Zepz,5,Jan-22,Financial technology,United Kingdom,
Animoca Brands,5,Dec-21,Blockchain gaming,Hong Kong,Yat Siu
Octopus Energy,5,Feb-22,Energy supply,United Kingdom,
Pine Labs,5,Sep-21,Financial technology,India,"Lokvir Kapoor, Rajul Garg, Tarun Upaday"
Meesho,4.9,Dec-21,E-commerce,India,"Vidit Aatrey, Sanjeev Barnwal"
Pleo,4.7,Aug-21,Financial technology,Denmark,
Checkr,4.6,Aug-21,Human resource management,United States,
Dataiku,4.6,Aug-22,Artificial intelligence,France / United States,
Sorare,4.6,Feb-16,Fantasy sports,France,
Magic Leap,4.5,Nov-21,Augmented reality,United States,
Socure,4.5,May-21,Identity management,United States,
Vinted,4.5,May-15,Marketplace,Lithuania,"Milda Mitkutė, Justas Janauskas"
Zenefits,4.5,Oct-16,Human resource management,United States,
Meizu,4.4,Jun-21,Consumer electronics,China,
Outreach,4.4,Jul-21,Sales,United States,
Arctic Wolf Networks,4.3,Jun-21,Cybersecurity,United States,
Chainalysis,4.2,Jun-21,Blockchain,United States,
Relativity Space,4.2,Jun-21,Aerospace,United States,
SSENSE,4.15,Aug-21,E-commerce,Canada,
Bitpanda,4.1,Mar-21,Cryptocurrency,Austria,
Dataminr,4.1,Nov-16,Data analytics,United States,
Yello Mobile,4.05,May-22,Software industry,South Korea,
Abnormal Security,4,Jun-24,Cybersecurity,United States,"Evan Reiser, Sanjay Jeyakumar"
AlphaSense,4,Feb-22,Software,"Finland, United States","Jaakko Kokko, Raj Neervannan"
Branch Metrics,4,Jun-21,Marketing,United States,
BrowserStack,4,Apr-21,Software,India,"Ritesh Arora, Nakul Aggarwal"
Clubhouse,4,Jun-17,Messaging,United States,Paul Davison and Rohan Seth
Houzz,4,May-19,Interior design,United States,
Megvii,4,Sep-21,Technology,China,
Melio,4,Mar-21,Financial technology,Israel,
NEXT Insurance,4,Jun-21,Insurance,United States,
Olive,4,Apr-21,Health technology,United States,
Patreon,4,Jan-21,Online membership service,United States,"Jack Conte, Sam Yam"
PointClickCare,4,May-21,Software,Canada,
QuintoAndar,4,Jan-19,Real estate,Brazil,
Niantic,3.95,Apr-21,Video games,United States,
StockX,3.8,Jul-21,E-commerce,United States,
Articulate,3.75,Mar-21,Educational technology,United States,
Cohesity,3.7,May-21,Software,United States,
Noom,3.7,Sep-21,Healthcare,United States,
PAPAYA Global,3.7,Dec-21,Workforce management,Israel / United States,
ShareChat,3.7,Aug-21,Social network,India,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan"
WHOOP,3.6,Dec-16,Wearable technology,United States,
Shouqi,3.55,Oct-21,Transportation,China,
Alchemy,3.5,Sep-21,Blockchain,United States,
Coalition,3.5,Sep-21,Cybersecurity,United States,
Commure,3.5,Jul-21,Health technology,United States,
Digit Insurance,3.5,Sep-21,Insurance,India,Kamesh Goyal
Mirakl,3.5,Jul-19,Marketplace,France,
N26,3.5,Aug-21,Financial services,Germany,
OwnBackup,3.35,Sep-19,Data storage,United States,
Preferred Networks,3.33,Dec-21,Artificial intelligence,Japan,
CARS24,3.3,Jul-21,Marketplace,India,"Vikram Chopra, Mehul Agrawal, Gajendra Jangid and Ruchit Agarwal"
Kurly,3.3,Jan-19,E-commerce,South Korea,
Rubrik,3.3,Jun-21,Computer storage,United States,"Bipul Sinha, Arvind Jain, Soham Mazumdar, Arvind Nithrakashyap"
WeRide,3.3,Oct-18,Self-driving cars,China,
Youxia Motors,3.3,Nov-21,Electric vehicles,China,
