Company,Valuation(US$ billions),Valuation date,Industry,Country/countries,Founder(s)
Bucketplace,1.4,Jan-18,Interior design,South Korea,
Cabify,1.4,Apr-21,Transportation,Spain,
Chargebee,1.4,Mar-21,Financial technology,India / United States,
Epidemic Sound,1.4,May-21,Music,Sweden,"Peer √Östr√∂m, David Stenmarck, Oscar H√∂glund, Jan Zachrisson"
FiscalNote,1.4,Mar-21,Data analytics,United States,"Timothy Hwang, Gerald Yao, Jonathan Chen"
Five Star Finance,1.4,Apr-21,Financial services,India,
Gupshup,1.4,Oct-21,Messaging,India / United States,
IAD,1.4,May-21,Real estate,France,
NetDocuments,1.4,Dec-21,Software,United States,
"Panther Labs, Inc.",1.4,Dec-21,Computer security,United States,Jack Naglieri
Pristyn Care,1.4,Dec-21,Health technology,India,
"QOMPLX, Inc.",1.4,Oct-21,Computer security,United States,
Rebel Foods,1.4,Feb-21,Ghost kitchen,India,
Stash,1.4,Jun-19,Financial technology,United States,
Symphony,1.4,Apr-22,Software,United States,
Voyager,1.4,Mar-21,Financial technology,Philippines,
Yotpo,1.4,Aug-21,Marketing,Israel / United States,
RIDI,1.33,Aug-21,E-commerce,South Korea,
Zetwerk,1.33,Dec-18,,India,
GPClub,1.32,Aug-21,,South Korea,
DistroKid,1.3,Oct-16,Music,United States,
ETCP,1.3,Mar-21,,China,
Feedzai,1.3,Jun-21,Artificial intelligence,Portugal / United States,Nuno Sebasti√£o
G2,1.3,Feb-21,Technology,United States,"Tim Handorf, Godard Abel, Matt Gorniak, Mark Myers, Mike Wheeler"
Innovaccer,1.3,Aug-19,Health care,India / United States,"Abhinav Shashank, Kanav Hasija, Sandeep Gupta"
Knotel,1.3,Sep-21,,United States,
Konfio,1.3,Jun-18,Financial services,Mexico,
Kr Space,1.3,Oct-21,,China,
Yugabyte,1.3,Jun-23,Database management,United States,
Cart.com,1.27,Dec-21,Commerce and logistics,United States,"Omair Tariq, Remington Tonar[427]"
Incode,1.25,Oct-20,Technology,Mexico,
Applied Intuition,1.25,May-18,Software,United States,
BigID,1.25,Apr-21,Cybersecurity,Israel / United States,
Deel,1.25,Apr-19,,Israel / United States,
ezCater,1.25,Nov-15,,United States,"Stefania Mallett, Briscoe Rodgers"
Iwjw,1.25,Sep-21,,China,
Marshmallow,1.25,Mar-21,Insurance,United Kingdom,
Rec Room,1.25,Sep-21,Video games,United States,
Nexii,1.23,Sep-21,Building services engineering,Canada,
Spiber,1.22,Mar-22,Biotechnology,Japan,
Insider,1.22,Jan-22,AI-powered SaaS,Turkey,Hande √áilingir
Mamaearth,1.2,Dec-21,Personal care,India,Varun Alagh and Ghazal Alagh
Merama,1.2,Jun-21,E-commerce,Mexico,
Jokr,1.2,May-21,Transportation,United States,
Ada,1.2,Jun-21,Software,Canada,
Alation,1.2,Apr-21,Software,United States,"Satyen Sangani, Aaron Kalb, Feng Niu, and Venky Ganti"
Apotea,1.2,Mar-21,E-commerce,Sweden,
Axonius,1.2,Jun-18,Cybersecurity,Israel / United States,
Byton,1.2,Oct-21,Automotive,China,
CarDekho,1.2,Oct-21,Marketplace,India,
Copado,1.2,Aug-18,Software,Spain / United States,
Dada,1.2,Oct-21,,China,
Dental Monitoring,1.2,Aug-20,Healthcare,France,
Deutsche Health,1.2,Jul-21,,Germany / Russia,
Droom,1.2,Dec-18,Marketplace,India,Sandeep Aggarwal
Fair,1.2,Feb-20,,United States,
FirstCry,1.2,Jul-21,E-commerce,India,
FloQast,1.2,Jun-21,Software,United States,
Forto,1.2,Mar-19,Software,Germany,
Glossier,1.2,Mar-18,,United States,
Intercom,1.2,Oct-21,Software,United States,
Kyriba,1.2,Aug-21,Cloud software,France,
MindTickle,1.2,Nov-21,Software as a service,India,
MyGlamm,1.2,Jan-23,E-commerce,India,
Triple-1,1.2,Jun-21,Blockchain,Japan,
Rohlik,1.2,Aug-21,Retail,Czech Republic,
upGrad,1.2,Jun-20,Educational technology,India,
Workhuman,1.2,Apr-21,Software,Ireland,
Sysdig,1.18,Jan-23,Cybersecurity,United States,
"3DOM Alliance, Inc.",1.1,Jun-22,Battery manufacturing,Japan,
Physics Wallah,1.1,Oct-21,Educational technology,India,Alakh Pandey
Acko,1.1,Sep-21,Insurance,India,
Apna,1.1,Sep-21,,India,
Carousell,1.1,Aug-21,Marketplace,Singapore,
CoinDCX,1.1,Jun-22,Cryptocurrency,India,"Sumit Gupta, Neeraj Khandelwal"
Purplle,1.1,Dec-21,E-Commerce,India,"Manish Taneja, Rahul Dash"
GlobalBees,1.1,Sep-17,,India,
Luoji Siwei,1.1,Feb-21,,China,
Nexthink,1.1,Jan-20,Technology,Switzerland,
Sisense,1.1,Jan-23,Business intelligence,Israel / United States,
Drools,1.1,Aug-19,Pet food,India,
SmartNews,1.1,May-19,,Japan,
Trax,1.1,Dec-20,,Singapore / Israel,
Virta Health,1.1,Dec-22,Healthcare,United States,
YouniteD,1.1,Dec-20,Financial services,France,"Charles √âgly, Geoffroy Guigou"
Benevity,1.1,Mar-21,Software as a service,Canada,Bryan de Lottinville
Zego,1.1,Oct-19,Insurance,United Kingdom,
Rivigo,1.05,Dec-19,Logistics,India,"Deepak Garg, Gazal Kalra"
Aprogen,1.04,March†2023,,South Korea,
Character.ai,1,Jan-22,Artificial Intelligence,United States,"Daniel De Freitas, Noam Shazeer"
Pentera,1,26-Jul-23,Cybersecurity,Israel,"Arik Liberzon, Arik Faingold[479]"
"VectorBuilder, Inc.",1+,Mar-22,Biotechnology,United States,"Bruce Lahn, Kristofer Mussar"
Emplifi,1+,Aug-20,Technology,"United States, United Kingdom and Europe",
Gymshark,1+,Dec-21,Sportswear,United Kingdom,"Ben Francis, Lewis Morgan"
Kopi Kenangan,1+,Dec-21,Coffee shop,Indonesia,
Clara,1+,Oct-15,Financial technology,Mexico,
58 Daojia,1+,Sep-19,,China,
Acronis,1+,Oct-21,Software,Singapore / Switzerland,
Aircall,1+,Oct-21,Cloud,France,
Ajaib,1+,Jun-21,Financial technology,Indonesia,
Amber Group,1+,Oct-15,Cryptocurrency,Hong Kong,
AppDirect,1+,Mar-21,,United States,
Aqua Security,1+,Sep-19,Cloud computing,Israel,
Asia First Media,1+,Jan-22,Media,Japan,
Assent Compliance,1+,26-Jan-24,Supply chain management,Canada,
Krutrim,1+,Jun-16,AI / GPT,India,
Beibei,1+,Jul-21,E-commerce,China,
Blackbuck,1+,Oct-21,Logistics,India,
Back Market,1+,Aug-21,E-commerce,France,
Bluecore,1+,Jun-21,E-commerce,United States,
Bringg,1+,Dec-21,Logistics,Israel,
"Cadence Solutions, Inc.",1+,Mar-21,Healthcare,United States,Chris Altchek
Calabrio,1+,Jun-21,Software,United States,
Carro,1+,Jul-21,Marketplace,Singapore,
Carsome,1+,May-17,Marketplace,Malaysia,
Chubao Technology,1+,Jun-17,,China,
Dt Dream,1+,Jul-21,,China,
Dunamu,1+,Apr-18,Financial technology,South Korea,
DXY,1+,Feb-21,,China,
Earnix,1+,Oct-19,Financial technology,Israel,
Ebanx,1+,Jun-20,Financial services,Brazil,
EMPG,1+,Feb-22,Real estate technology,United Arab Emirates,
eSentire,1+,Jun-21,Cybersecurity,Canada / United States,
Flash Express,1+,Jul-22,Logistics,Thailand,
Flexe,1+,Mar-21,Logistics,United States,Karl Siebrecht
Flutterwave,1+,Mar-21,Financial technology,Nigeria / United States,
Fractal,1+,Aug-21,Artificial intelligence,India / United States,
FreshBooks,1+,Sep-17,Accounting software,Canada,
Frontline Education,1+,Jan-18,,United States,
FXiaoKe,1+,Aug-21,,China,
Gelato,1+,Mar-21,,Norway,
GeoComply,1+,May-19,Cybersecurity,Canada,
GetYourGuide,1+,Dec-20,Travel,Germany,
Glance,1+,Jul-21,Artificial intelligence,India,
Go1,1+,Sep-17,Education,Australia,
GoGoVan,1+,Mar-21,Technology,Hong Kong,
Gorillas,1+,Mar-21,Retail,Germany,
Gousto,1+,Jun-21,Meal kit,United Kingdom,
Blinkit,1+,Apr-22,Retail,India,
Grover,1+,Apr-22,E-commerce,Germany,Michael Cassau
Grove Collaborative,1+,Jun-21,,United States,
Hailo,1+,Jan-20,Electronics,Israel,
HighRadius,1+,May-18,Software as a service,India / United States,
Huikedu Group,1+,Jul-16,,China,
iCarbonX,1+,Nov-18,Healthcare,China,
IFood,1+,Aug-21,Food delivery,Brazil,
IGAWorks,1+,May-17,Advertising technology,South Korea,
Improbable,1+,Jul-20,Cloud computing,United Kingdom,
Infobip,1+,Apr-21,Cloud communications,Croatia,"Silvio Kutiƒá, Izabel Jeleniƒá, Roberto Kutiƒá"
Injective,1+,May-17,Financial technology,United States,"Eric Chen, Albert Chon"
InMobi,1+,Nov-17,Internet,India,"Naveen Tewari, Mohit Saxena, Amit Gupta and Abhay Singhal"
InVision,1+,May-20,,United States,
Ivalua,1+,May-18,,France,
Jollychic,1+,Jun-21,,China,
JoyTunes,1+,Jul-21,Music,Israel,
Kitopi,1+,Apr-19,Ghost kitchen,United Arab Emirates,
Klook,1+,Feb-17,,Hong Kong,
Lamabang,1+,Jun-21,,China,
LetsGetChecked,1+,Oct-21,Healthcare,Ireland,
Licious,1+,Aug-22,Retail,India,"Abhay Hanjura, Vivek Gupta"
Lydia,1+,Jun-20,Finance,France,
Lilium GmbH,1+,Jan-15,Transportation,Germany,
LinkSure Network (WiFi Master Key),1+,Apr-19,,China,
Liquid Group,1+,Jul-21,Cryptocurrency,Japan,
LMAX Group,1+,Feb-21,Financial technology,United Kingdom,
Locus Robotics,1+,Jan-20,Robotics,United States,
Loft Brazil Technology,1+,Jul-21,Real estate,Brazil,
Lunar,1+,Jul-21,Financial technology,Denmark,
Loggi,1+,Aug-14,Logistics,Brazil,
Lookout,1+,Jan-21,Cybersecurity,United States,
MadeiraMadeira,1+,Aug-18,Furniture,Brazil,
Maimai,1+,Aug-21,,China,
Matrixport,1+,Jun-19,Cryptocurrency,Singapore,
Meero,1+,Nov-21,Internet,France,
Mensa Brands,1+,Oct-16,E-commerce,India,
Mia.com,1+,Feb-16,,China,
MindMaze,1+,Oct-21,,Switzerland,
MobiKwik,1+,Aug-21,Financial technology,India,
MobileCoin,1+,Oct-15,Cryptocurrency,United States,
Mobvoi,1+,Apr-16,Artificial intelligence,China,
Mofang Apartment,1+,May-21,,China,
Moglix,1+,Nov-21,E-commerce,India / Singapore,Rahul Garg
Moka,1+,Jun-21,Human resource management,China,
Morning Consult,1+,Sep-21,,United States,
Ninja Van,1+,Jul-21,Logistics,Singapore,
Nium,1+,Nov-21,Financial technology,Singapore,
NoBroker,1+,Aug-19,,India,"Akhil Gupta, Amit Agarwal, Saurabh Garg"
Numbrs,1+,Aug-19,Financial technology,Switzerland,
Kredivo,1+,Mar-19,Financial technology,Indonesia,
OCSiAl,1+,May-22,Nanotechnology,Luxembourg,
Opn (Synqa),1+,Feb-18,Financial technology,Japan,"Jun Hasegawa, Ezra Don Harinsut"
OrCam,1+,Sep-21,Health,Israel,
PandaDoc,1+,Jul-21,Software as a service,United States,"Mikita Mikado, Sergey Barysiuk"
Pantheon Systems,1+,Mar-21,WebOps,United States,
PatSnap,1+,Jun-22,Intellectual property,Singapore,
Perimeter 81,1,Aug-21,Network security,Israel,"Sagi Gidali, Amit Bareket"
Picsart,1+,Nov-20,Graphic design,Armenia / United States,"Hovhannes Avoyan, Artavazd Mehrabyan, Mikayel Vardanyan"
Pipedrive,1+,Sep-20,Customer relationship management (CRM),Estonia / United States,
Playco,1+,May-21,Mobile gaming,Japan,
"Printful, Inc",1+,Aug-20,Technology,Latvia,
Redis Labs,1+,Nov-20,Software,Israel / United States,
REEF Technology,1+,May-20,Real estate technology,United States,
Quizlet,1+,Oct-17,Educational technology,United States,
Revolution Precrafted,1+,Sep-17,Architecture,Philippines,
Rubicon Global,1+,Jan-21,Waste management,United States,
Sennder,1+,May-21,Logistics,Germany,
Shift Technology,1+,Jun-21,Artificial intelligence,France,
Shippo,1+,Apr-21,,United States,"Laura Behrens Wu, Simon Kreuz"
Sift,1+,Nov-21,Fraud prevention,United States,
Slice,1+,Jun-21,Financial technology,India,
SmartAsset,1+,Jun-21,Financial technology,United States,
SmartMore,1+,May-17,Artificial intelligence,China,
Snapdeal,1+,Oct-20,E-commerce,India,"Rohit Bansal, Kunal Bahl"
Socar,1+,May-18,Car sharing,South Korea,
SoundHound,1+,Aug-22,,United States,
Spendesk,1+,Jan-21,Financial software,France,
Splashtop,1+,Mar-22,Software,United States,
Staffbase,1.1,Oct-21,Software as a service,Germany,"Frank Wolf, Lutz Gerlach, Martin B√∂hringer"
Swile,1+,Jun-23,Financial services,France,
Synthesia,1+,Oct-20,Artificial intelligence,United Kingdom,"Lourdes Agapito, Matthias Niessner, Victor Riparbelli, Steffen Tjerrild"
Tekion,1+,May-21,Software as a service,United States,
Tenstorrent,1+,Oct-21,Semiconductors,Canada,
Tezign,1+,Oct-17,Software,China,
Tongdun Technology,1+,Jun-21,,China,
Tractable,1+,Oct-18,Artificial intelligence,United Kingdom,
Tresata,1+,Sep-21,,United States,
TrueLayer,1+,Jun-20,Financial technology,United Kingdom,
Trustly,1+,Jul-19,Financial technology,Sweden,
Turo,1+,Nov-15,Car sharing,United States,
Udacity,1+,Jul-18,Education,United States,
Unisound,1+,Nov-21,Technology,China,
Vagaro,1+,Sep-21,Software as a service,United States,Fred Fady Helou
Vedantu,1+,Sep-21,Educational technology,India,
Blibli,1+,Jun-21,E-commerce,Indonesia,
Verbit,1+,Dec-20,Software,Israel,
VerSe Innovation,1+,Jun-21,Technology,India,Virendra Gupta
Visier,1+,Mar-21,Technology,Canada,
volocopter,1+,Aug-15,Transportation,Germany / France,
Vox Media,1+,May-19,Digital media,United States,
VTS,1+,Jul-18,,United States,
Wacai.com,1+,Dec-19,,China,
WeLab,1+,Oct-15,Financial technology,Hong Kong,
Womai,1+,Sep-21,,China,
Xendit,1+,Nov-17,Financial technology,Indonesia,
Xiaozhu.com,1+,Sep-17,,China,
YH Global,1+,Oct-17,Telecommunications,China,
Yidian Zixun,1+,Jul-18,,China,
Yitu Technology,1+,May-21,,China,
YunQuNa,1+,Dec-20,Logistics,China,
Zenoti,1+,Jul-17,Software company,India / United States,
Zhaogang.com,1+,Apr-17,,China,
Zhuanzhuan,1+,Jul-18,,China,
Zuoyebang,1+,Jul-18,,China,
eFishery,1+,Sep-22,Aquaculture,Indonesia,
LINE MAN Wongnai,1+,Dec-21,"E-commerce, Food delivery",Thailand,
ReliaQuest,1+,Dec-21,Cybersecurity,United States,Brian Murphy
DANA,1+,Jul-23,Financial technology,Indonesia,
Nagad,1+,Aug-22,Mobile financial services,Bangladesh,Tanvir A Mishuk
Deezer,1,Aug-22,Music,France,
Ecovadis,1,Feb-22,"Environmental, social, and corporate governance",France,
Scandit,1,Feb-22,Software,Switzerland,"Samuel Mueller, Christian Floerkemeier, Christof Roduner"
BlueVoyant,1+,Mar-22,Cybersecurity,United States,"Jim Rosenthal, Chris Meissner, Jim Thompson, and Arun Sankaran"
Payhawk,1+,Apr-22,Financial technology,Bulgaria,
Voi,1+,May-22,,Sweden,
Neo Financial,1,Nov-21,Financial technology,Canada,"Andrew Chau, Jeff Adamson, Kris Read"
Stytch,1,Dec-23,Cybersecurity,United States,"Reed McGinley-Stempel, Julianna Lamb"
Epassi,1+,Aug-20,Employee benefits platform,Finland,Risto Virkkala
HMD Global,1+,Jul-22,Mobile Devices,Finland,Jean-Francois Baril
IQM,1,Dec-24,Quantum Computing,Finland,"Jan Goetz, Mikko M√∂tt√∂nen, Kuan Yen Tan, Juha Vartiainen"
Hostaway,1,Jul-23,Vacation rental software platform,Finland,"Marcus R√§der, Saber Kordestanchi, Mikko Nurminen"
Papara,1,Jul-23,Fintech,Turkey,Ahmed Faruk Karslƒ±
